what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1439490415081
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1439490415083
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1439490415088
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1439490415136
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1439490415168
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1439490415373
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1439490415396
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1439490415401
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1439490419516
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1439490421248
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1439490421253
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1439490422056
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1439490422063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439490423791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439490429511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439490432499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491676126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491679678
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1439491683101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491683621
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1439491684333
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1439491684416
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1439491684903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1439491689129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1439491689609
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1439491690196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491701349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491708076
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1439491709549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491711949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491719617
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1439491719754
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1439491719807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1439491724319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1439491724744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491738427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491744739
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1439491746229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491748977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491751732
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1439491751800
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1439491751862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1439491755847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1439491756345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491758122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491765937
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1439491767522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491769880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439491777430
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1439491777515
